company,job_title,company_rating,job_description,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Clairvoyant,Python Data Engineer,4.0,"About Clairvoyant

Clairvoyant is a global technology consulting and services company founded in 2012, headquartered in Chandler, US, and has delivery centers across the globe. We help organizations maximize the value of data by providing data engineering, analytics, machine learning, and user experience consulting and development projects to multiple Fortune 500 clients. Clairvoyant clients rely on its deep vertical knowledge and best-in-class services to drive revenue growth, boost operational efficiencies, and manage risk and compliance. Our team of experts with direct industry experience in data engineering, analytics, machine learning, and user experience has your back every step of the way.

Our Values: Passion, Continuous Learning, Adaptability, Teamwork, Customer Centricity, Reliability

Position - Python Data Engineer
Location - Pune, Gurgaon, Hybrid
Experience - 5 to 8 Years of experience as a Python Developer or System Analyst

Job Description:

Ability to set up and manipulate Python data structures like List, strings, dictionaries, tuples
Strong expertise in pandas and numpy.
Familiar with data exploration, visualization, and comparing metrics of large CSV and parquet files including partitioned parquet files.
Strong skills in join, merge, pivot table, grouping, and window functions in Python or SQL.
Versioning tools: Git, git push, git clone.

Value Adds:

Good experience with object-oriented programming patterns, multithreading, and multiprocessing.
Good experience to build REST APIs.
API Security: API Key Validation, Authorization, Authentication, and Identity

Good to have skills:

Developing Spark applications using Python.
Familiar with Apache Spark i.e., Spark SQL, Spark Streaming, Data frames, RDD, PY Spark”

Responsibilities:

Analyzing requirements and designing new functionality.
Design, build, and maintain efficient, reusable, and reliable code.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify bottlenecks and bugs, and devise solutions to mitigate and address these issues.
Help maintain code quality, organization, and automatization.
Keep clear documentation of the database setup and architecture

Education -
Minimum of 15 years of formal education – BE/BTech or Graduate / Postgraduate in Computer Science / Information Technology

You are important to us, let’s stay connected!
Every individual comes with a different set of skills and qualities so even if you don’t tick all the boxes for the role today, we urge you to apply as there might be a suitable/unique role for you tomorrow!",Pune,"₹6,83,831",/yr (est.),501 to 1000 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,3.7,4.0,3.8,3.8
Everstylish Lifestyle Pvt. Ltd.,Data Entry Operator,,"As a Data Entry Operator, your main task is to input and manage data on a computer. You'll be responsible for entering various types of information into databases, spreadsheets, or other digital systems. Your accuracy and attention to detail are crucial in ensuring the data is recorded correctly.
Key responsibilities:
1. Data Entry: Input data from various sources, including paper documents, forms, or digital records, into computer systems.
2. Data Verification: Double-check and verify the accuracy of the data you enter to minimize errors.
3. Data Maintenance: Keep data organized and up-to-date, making sure it's easily accessible when needed.
4. File Management: Manage digital files and documents, ensuring they are properly labeled and stored.
5. Data Security: Follow data security and confidentiality guidelines to protect sensitive information.
6. Report Generation: Generate basic reports or summaries from the entered data as required.
Requirements:
1. Basic computer skills
2. Good typing speed and accuracy
3. Attention to detail
4. Ability to follow instructions
5. Basic knowledge of spreadsheet software (e.g., Excel)
6. Ability to maintain data confidentiality
A Data Entry Operator plays a vital role in maintaining accurate and organized records, which is important for businesses to make informed decisions.
Job Type: Full-time
Salary: ₹12,000.00 - ₹15,000.00 per month
Schedule:
Day shift
Education:
Higher Secondary(12th Pass) (Preferred)
Experience:
Microsoft Office: 1 year (Preferred)
total work: 1 year (Preferred)
Language:
English (Preferred)
Ability to Commute:
Gurgaon, Haryana (Required)
Ability to Relocate:
Gurgaon, Haryana: Relocate before starting work (Required)
Work Location: In person
Speak with the employer
+91 9915451208",Gurgaon,"₹13,500",/mo (est.),,,,,,,,,,,
Parexel,Data Management Lead II,3.8,"India, Remote
Job ID R0000016638
Category Data Management
ABOUT THIS ROLE
Data Management Lead ll
The Data Management Lead ll provides leadership and expertise in all aspects of Data Management. Develop and manage timelines for study data deliveries, including Go-Live, Interim Deliveries, and Final DB Lock. Collaboration with the relevant functions (Clinical, Biostatistics, Database Programming, Medical, Medical Writing etc.) across all geographies. Data Management’s single point of contact to ensure that the contracted Data Management deliverables are being met – specifically in terms of timeliness, financial management and quality. The Data Management Lead ll works with minimal guidance from their Line Manager and/or Subject Matter Experts. DML's may act as a mentor for ADML's or other DML peers. May act as Project Leader for projects involving only Global Data Operations services
Knowledge and Experience:
Strong experience in clinical research industry
Proven record of leading project and program teams
Good understanding and application of Parexel project tools, reports and processes for management of project financials with regards to forecasting, revenue recognition, scope of work and department budget for assigned projects.
Good understanding of Clinical Study Team roles outside of Data Management
Full understanding and application of relevant ICH-GCP Guidelines, local regulatory requirements and Parexel SOPs and study specific procedures
Awareness of SDTM/CDISC/CDASH standards
Strong technical skills including, but not limited to the knowledge of Clinical Trial/Data Management Systems (e.g. InForm, Rave, Veeva, DataLabs) and Microsoft Office products .
Shift: 6 pm to 3 am
Education:
Bachelor’s degree and/or other qualifications in a science or clinical related industry

#LI-REMOTE",Remote,,,10000+ Employees,1982,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$2 to $5 billion (USD),3.7,3.6,3.8,3.5,3.7
Trukky Logistics,Data science internship,,"ROLE
Data science internship
DEPARTMENT
Tech
Drop us an email at careers@trukky.com. We’ll be happy to hear from you. Alternatively, choose from our list of challenges. And apply for the one you’re ready to take head-on.",Gurgaon,,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.1,2.9,2.9,3.2,2.7
Optimum Info,Junior Analyst- Financial Data,,"Business Analyst / Junior Analyst - Finance
At Optimum Info, we are continually innovating and developing a range of software solutions empowering the Network Development and Field Operations businesses at Automotive, Power Sports and Equipment industries. Our integrated suite of comprehensive solutions provides a seamless and rich experience to our customers, helping them become more effective at their work and create an impact on the organization.
Our sharp cultural focus on outstanding customer service and employee empowerment is core to our growth and success. As a growing company, we offer incredible opportunities for learning and growth with opportunity to manage high-impact business solution.
Our products differentiate themselves from competition by their strong focus on data and analytical features. They are designed to be intuitive to use and to offer actionable insights to users.
Position Overview
The Business Analyst / Junior Analyst – Finance will acquire subject matter expertise on Optimum’s Business Management products and specifically assist in the financial data review and submission processes. This will involve reviewing the quality and completeness of dealer data submissions, following up with the controllers & office managers on such accounting issues. The person will work closely with Optimum’s account managers in developing reports and analyzing dealer performance data. This will include providing information on various tools and features of the system, generating analytical reports, analyzing dealer performance, etc.
The responsibility will span Optimum’s global clients and will be based in Noida, India.
Key Responsibilities
· Review the quality and consistency of financial statements received from dealerships on a timely basis.
· Follow up with dealer representatives to guide them on submission quality issues.
· Develop help documentation, client communication and internal documentation.
· Provide periodic online trainings to dealers and other users of the system.
· Support customers in development of ad-hoc performance and financial reports.
Desired qualifications and experience
· Bachelor’s degree or equivalent experience in accounting or similar disciplines.
· 0.6 to 1.5 years of experience in analyzing financial information.
· Written and verbal fluency in the English language.
· Automotive industry experience will be beneficial.
· Must be proficient in MS Office tools like Word and Excel.
Job Type: Full-time
Salary: ₹152,724.95 - ₹300,000.00 per year
Benefits:
Flexible schedule
Leave encashment
Paid time off
Provident Fund
Schedule:
Day shift
Monday to Friday
Application Question(s):
In how many days you can join?
What's your Present CTC (LPA)?
What's your expected CTC?
Can you read and describe financial statement?
Do you have good command on Excel ?
Are you from Noida or within 20kms?
Education:
Bachelor's (Preferred)
Experience:
Financial statement preparation: 1 year (Preferred)
Work Location: Hybrid remote in Sector 63, Noida",Noida,"₹2,26,362",/yr (est.),,,,,,,,,,,
Providence Global Center,Data Annotation Analyst,3.6,"About Providence
Providence, one of the US’s largest not-for-profit healthcare systems, is committed to high quality, compassionate healthcare for all. Driven by the belief that health is a human right and the vision, ‘Health for a better world’, Providence and its 120,000 caregivers strive to provide everyone access to affordable quality care and services.
Providence has a network of 52 hospitals, 1,000+ care clinics, senior services, supportive housing, and other health and educational services in the US.
Providence India was established to bring to fruition the transformational shift of the healthcare ecosystem to Health 2.0. The India center will have focused efforts around healthcare technology and innovation, and play a vital role in driving digital transformation for Improved patient outcomes and experiences, caregiver efficiency, and running the business of Providence at scale.


Why Us?
Best In-class Benefits
Inclusive Leadership
Reimagining Healthcare
Competitive Pay
Supportive Reporting Relation
How is this Team Contributing to the Vison of Providence?
The Providence Digital Innovation Group is a team of strategists, software engineers, marketers and investors focused on digital innovation that further Providence’s vision of “Health for a Better World.” The organization works hand-in-hand with clinical and operational teams at Providence to identify opportunities and deliver innovative solutions through the use of technology that will have an impact on patients, clinicians, communities, and the strength of our organization.
Now, as we face a new frontier—a changing health care landscape - we are looking for pioneering and compassionate individuals to plan for the next century and who can work on re-imagining the future of care with cutting-edge technologies such as big data, machine learning, artificial intelligence, IoT, and blockchain that enhance patient outcomes and experiences and more importantly, drive a lasting social impact.
What will you be responsible for?
Data annotation– a critical step in supervised learning–is the process of labelling data to teach the AI and ML models to recognize specific data types to produce relevant output.
As a Data Annotation Analyst, you will
Contribute to creating a robust vision for data analytics team within Providence India.
Learning the Data Annotation Tools quickly.
Owning the development quality of the Data Annotation Tool.
Help to define data labelling quality metrics, reports analysis of the same.
Good Team player and should follow agile development methodologies.
Analysis and resolution of customer and internal reported issues

What would your day look like?
Responsible to meet deadlines.
Highly self-motivated and energetic
Labelling/Annotation of data
Audit labelling made by AI Models for quality check
Prepare objective guidelines for existing and new use cases
Discuss with different stakeholders for the right annotation requirements
Who are we looking for?
A graduate in B.E/B.Tech (Computer Science/ Data Science /Equivalent Background)
Prior experience working on Healthcare data labeling, training, and evaluating data for machine learning models.
Working knowledge of Data annotation tools such as Prodigy
Good Programming skills in Python with Django Framework; TensorFlow; PyTorch; JSON File Format
Proficient in SQL
Familiar with cloud-based technologies like AWS /AZURE etc.
A go-getter, good in communication, challenge ideas to achieve career aspirations aligned with Providence mission
A Learning Enthusiast to be passionate about learning, follow trends and publications in the market outlining new solutions
Good interpersonal and communication skills

Providence’s vision to create ‘Health for a Better World’ aids us to promote individuality, diversity of thought and background, and acknowledge its role in the organization’s success. This makes us committed towards equal employment opportunity regardless of race, religion or belief, color, ancestry, marital status, gender, sexual orientation, age, nationality, ethnic origin, pregnancy, or related needs, mental or sensory disability, HIV Status, or any other category protected by applicable law.",Hyderābād,"₹3,15,247",/yr (est.),501 to 1000 Employees,1855,Non-profit Organisation,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.6,3.4,3.7,3.1,3.4
Elfonze Technologies,"Microsoft Azure including Azure Blob Storage, Azure Data Lake Storage.",4.8,"Job Information
Industry
IT Services
City
Bangalore , Hyderabad
State/Province
Karnataka , Telangana
Country
India
Zip/Postal Code
560001,500001
Job Description
""Azure Cloud Storage
Design, configure, and maintain Azure cloud-based systems using services like Azure Blob Storage, Azure Data Lake Storage, etc. Provide general and routine maintenance support including installation, patching, configuration, backups, and updates. Monitor system performance and security to ensure the integrity of data in the cloud. Troubleshoot issues with existing systems and provide solutions for improved reliability. Modify systems to improve efficiency, reliability, and performance""
SPOC- Ajay
Mandatory Skills - Microsoft Azure including Azure Blob Storage, Azure Data Lake Storage. Terraform, Ansible, CloudFormation, ARM
Nice to have skills - Azure Monitor. Azure Cloud IaaS & PaaS services, Identity and access management, Software-defined networking, Cloud automation and provisioning tools
Interview Mode - Virtual Interview
Work Model - Hybrid Model
Clean Room Project - No",Hyderābād,"₹3,52,564",/yr (est.),51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.8,4.6,4.8,4.8,4.7
altbalaji,Data Analyst,2.8,"Department: Analytics
Qualification: BTech/BSc IT
Reports to: VP Technology
Skills :

SQL + Tableau + R
2 to 5 years of experience in the Analytics industry.
Experience in OTT sphere will be an added advantage.
Data crunching, insights generation, strategic thinking.
Good communication skills to convey technical and advanced concepts in precise and clearly understandable terms to a variety of audiences.

Requirements :

Candidate should have strong analytical and logical thinking
Should be able to work on a large dataset
Able to write complex SQL queries to create an aggregate table
Able to create dashboards in Tableau, also able to take care of the server side activities
Must have knowledge of deck creation for upper management
Knowledge of scripting language: Javascript would be an added advantage

Submit your cv at careers@balajitelefilms.com",Mumbai,"₹2,64,811",/yr (est.),51 to 200 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,3.0,2.9,2.3,2.3,2.0
Biz4Group,AI Data Scientist,4.4,"Mail Your CV at : hr@biz4group.com

4+ years
On Site
Jaipur

About the Role
As an AI Data Scientist at Biz4Group, you will be a key contributor to our data science team, playing a crucial role in leveraging artificial intelligence to derive actionable insights from complex datasets. A successful candidate will have experience and a strong technical background, excelling in areas such as programming, machine learning, and data science.
Responsibilities:
Utilize strong data analysis skills to extract meaningful insights from diverse and extensive datasets.
Apply expertise in data preprocessing and feature engineering to enhance the performance of machine learning models.
Showcase knowledge of data visualization tools and techniques to effectively communicate findings to both technical and non-technical stakeholders.
Work collaboratively with cross-functional teams, including data engineers, software developers, and business stakeholders, to align AI solutions with organizational goals.
Communicate complex technical concepts and findings in a clear and concise manner, fostering a collaborative and knowledge-sharing environment.
Stay informed about the latest advancements in AI, machine learning, and data science, and proactively apply new techniques to enhance model performance.
Qualifications:
2+ years of relevant experience as an Data Scientist.
Experience as an AI Data Scientist would be advantageous.
Demonstrate a solid foundation in computer science, mathematics, and statistics.
Proficiency in programming languages commonly used in AI, with a focus on Python, R, or Julia would be advantageous but not mandatory.
Exhibit expertise in machine learning algorithms, frameworks, and tools, including but not limited to TensorFlow, PyTorch, and scikit-learn.
Familiar with deep learning concepts and neural networks, particularly their application in various AI scenarios.
Proficiency in data analysis, preprocessing, and feature engineering.
Familiarity with data visualisation tools and techniques.
Excellent communication and collaboration skills.",Jaipur,"₹5,71,421",/yr (est.),1 to 50 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.2,4.0,4.2,4.3,4.2
Angel broking,Data Scientist 2,4.2,"About Us
Angel One Limited (formerly known as Angel Broking Limited) is a Fintech company providing broking services, margin trading facility, loan against shares, research services, depository services, investment education and financial products distribution to its clients, on a mission to become the No. 1 fintech organization in India. With more than 11 million registered clients and over 28 million app downloads, we are onboarding an average of about 400K new clients every month. We are working to build personalized financial journeys for our clients via a single app, powered by new-age engineering tech and Machine Learning. We are a group of self-driven, motivated individuals who enjoy taking ownership and believe in providing best value for money to investors through innovative products and investment strategies. We apply and amplify design thinking with our products and solution. We have a flat structure, with ample opportunity to showcase your talent and a growth path for engineers to the very top. We are remote-first, with people spread across the country. Come on Onboard, to become a part of this epic journey! We are aggressively hiring Engineers, Product Managers & Data science rockstars across India.. check out our career’s sections!
About The Role
About Angel One :
Angel One (formerly known as Angel Broking) is a technology and data driven financial services company providing broking and advisory services, margin funding, loans against shares and financial products distribution to its clients. We are onboarding more than 500K new users every month & we are one of the fastest growing fintech organisations in India with more than 2 Mn monthly active users. We have received several awards, certificates and accolades for our services, products, technology, and digital initiatives. We have also been recognized among the best places to work. Angel Broking Limited is now a listed entity (IPO 2020).
We are a group of self-driven, motivated individuals who enjoy taking ownership. It is a flat structure, with ample opportunity to showcase your talent, and a growth path for engineers to the very top. We are remote-first with people spread across Bangalore, Mumbai, UAE, and the US.
Angel One – https://www.linkedin.com/company/angelone/
Job Description
The data science team at AngelOne aims to produce top-quality work that makes a positive impact on our business. We are looking for experienced self-driven data scientists who match these ideals. The candidate should be adept at discovering insights from large datasets and providing data-driven solutions to business units. Together with a strong technical background, they should fundamentally be curious, creative, and possess a keen sense of observation. They must also have excellent comprehension and communication skills to understand business use-cases and present their findings to stakeholders.
Responsibilities
Understand data landscape
Perform ad-hoc analysis and present results in a clear manner
Develop and test hypothesis in collaboration with domain experts
Work on the full lifecycle of machine learning development including sourcing, dataset curation, feature engineering, model training, model tuning, and offline & online experimentation
Understand business problems and evaluate fitment of technical solutions to the problem statement
Evaluate effectiveness of solutions and work toward its continuous improvement
Requirements / Skills
Strong programming skills with minimum 4 – 7 years of experience in Python
Experience working with databases and expert knowledge of SQL
Proficiency in statistical ML algorithms and statistics analysis methods
Good knowledge of machine learning tools such as Scikit-Learn, Pytorch/Tensorflow
Knowledge of visualisation tools
Strong analytical and critical thinking skills
Great communication skills
Learning mindset
Experience in Deep Learning applications is a plus
Experience with Big Data technologies, e.g.: Spark, Hive, and Presto, and ETL pipelines is a plus
Must Have
Must have good communication skills and analytical ability
Statistical and core ML algorithm knowledge must be strong
Good programming skills
Enthusiasm to learn
Working With Us
We strive to help millions of Indians make informed investment decisions. We constantly are in search of the brightest, most talented individuals to join our world-class team. We give each of our teammates the freedom to ideate, innovate, express, solve and create customer experience through #Fintech & #ConsumerTech. With our continuous learning interventions and upskilling, we carved out the best of each of our teammates.
Benefits
We have a “work-from-anywhere” policy.
We have flexible work timing and fast-track promotions for all our employees.
Our employees enjoy highly competitive pay structures. One of the best!
AngelOne has been 6-time certified as a “Great Place To Work” culture.
Long & Short term incentives to reward our team members for their efforts.
Enjoy benefits like: Annual Leaves, Insurance Mediclaim, Variable Pay plans, internet allowance and many more.
Location
Work From Anywhere in India
Work Type
full-time
Department
Data and Analytics",India,,,1001 to 5000 Employees,1987,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,4.1,4.0,4.1,3.9,4.1
Indecomm Technology Services,Lead Associate (Data Analysis),4.0,"Job Brief
We’re on the lookout for a highly skilled Lead Associate with expertise in data analysis to join our Bengaluru team, with minimum of 5 years’ experience, demonstrating advanced proficiency in Excel. As a Lead Associate, your responsibilities will involve designing and implementing complex spreadsheets, analyzing data, and providing valuable insights to drive business decisions. It’s crucial to have an in-depth understanding of spreadsheet structures, including tabs, rows, cells, and columns, coupled with the ability to accurately input and format data for clarity and effective presentation.
Roles and Responsibilities:
Prepare, publish, and maintain high-quality data.
Utilize automated tools to extract data from primary and secondary sources.
Identify and rectify corrupted data, coding errors, and related issues.
Develop and maintain databases and data systems.
Analyze to assess the quality and significance of data.
Filter data by reviewing reports and performance indicators to identify and correct code problems.
Analyze local, national, and global trends affecting both the organization and the industry.
Generate reports for management, presenting trends, patterns, and predictions using relevant data.
Provide stakeholders with final analysis reports, outlining data analysis steps to facilitate informed decision-making.
Requirements:
Bachelor’s degree in business, banking, finance, or a related field.
Excel expert with a minimum of 5 years of experience streamlining financial reporting and data analysis.
Highly organized with strong prioritization skills.
Effective communication skills, both verbal and written.
Detail-oriented with a focus on strong data analysis skills.
High mathematical aptitude.
Proficiency in Microsoft Office, particularly Excel and PowerPoint.
Flexibility to work both day and night shifts.",Bengaluru,"₹2,66,623",/yr (est.),1001 to 5000 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3.9,3.6,3.8,3.7,3.9
Bombay Play,Data Analyst,4.3,"INTRODUCTION:
Come revolutionise the way games are discovered, designed and developed with Bombay Play! We are seeking Data Analyst, or Data Junky as we like to call it, who have a passion for understanding business using data science and analytics and create actionable insights from billions of data points. You will find that this role will challenge you to combine your computational & statistical skills with your ability to communicate the story behind the data.
Bombay Play Data Analyst use our expansive data to deliver fundamental insights on who our audience is, how they engage with our games, and what are the best ways to acquire them. We strive for a better understanding of our players which translates into challenges and features that delight them. Here’s where you would come in: identify and formalise problems related to player behaviour and user acquisition. Build analyses and systems to derive insights that change the Product team’s world view. Be innovative, be creative, use every bit of that key commodity – data. Millions of people play Bombay Play games every month, so our data is tremendously rich, and we have a lot of it!
We will rely on you to communicate your findings to your peers – both technical and non-technical. Your solutions to difficult problems will need to be demonstrably impactful, visual and maintainable. You will work with our engineering teams to put your models into production. You will collaborate with User Acquisition Managers, Product Managers, and Engineers to deliver business impact, changing current practices in line with new findings and insights.
KEY ROLES & RESPONSIBILITIES
Analyze and acquire a deep understanding of game features/user behaviour/metric trends through data and share actionable and valuable insights with the team to drive product decisions
Understanding business requirements and implementing analytical solutions & techniques
Designing and analysing experiments to test new product ideas
Developing algorithms and predictive models to solve critical business problems and test feasibility of solution approach
Prototyping new ways to visualise and understand data relationships
Own the design, development, and maintenance of ongoing reports, dashboards, etc.
Developing tools and libraries that will help the team to improve efficiency
YOUR BACKGROUND
Knowledge of applied mathematics, statistical methods, machine learning and algorithms with a formal degree in Business/Economics/Statistics or Engineering
Hands-on experience with SQL
Experience working with R or similar open source statistical software
Analytical coder adept in any scripting language (Python, C++, JavaScript etc.,)
Experience in applied statistics, understanding of controlled experiments is an advantage
Deadline driven, ability to work independently
Detail oriented, with a strong passion for analytics and problem solving
Excellent written and oral communication skills
WHAT DO WE OFFER
Competitive salary, discretionary annual bonus scheme and stock allowance;
Flexible timing and work from home days;
Relocation allowance;
Located in the heart of vibrant Bangalore. Our office is a stones throw from everything you need;
Beautifully designed large office space;
Work directly with experienced founders with deep expertise in their fields.
WHY WORK WITH US?
Work directly with a founding team with deep expertise in their fields.
Located in the heart of vibrant Bangalore. Our office is a stones throw from everything you need.
Beautifully designed large office space.
Flexible timing
Competitive salary + Free shares
Job Type: Full Time
Job Location:Bangalore",Bengaluru,"₹2,40,000",/yr (est.),51 to 200 Employees,2017,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,4.3,4.2,4.3,4.1,4.3
Aicence,Data Engineer,,"Ensure that your career is headed where you belong.
It's time to build your career with Aicence.
Ready to find your team?
We're always looking for talented, passionate people like you.
Diversity & Inclusion are fundamental to our culture, and Aicence is proud to be an equal opportunity workplace and an affirmative-action employer. We strongly believe that a diverse workforce helps build stronger, successful businesses as a global company. All employment decisions at Aicence are based on business needs, job requirements, and individual qualifications, without regard to the applicant's gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law.

Data Engineer
Understanding of SQL, Unix, Talend, AWS
0-3 Years
Pune, Maharashtra

Thank you for your interest in this open position with us. Would you like to apply for this role, please feel free to share your updated profile at careers@aicence.com",Pune,"₹6,89,379",/yr (est.),1 to 50 Employees,--,Contract,--,--,Unknown / Non-Applicable,3.7,3.7,3.7,3.3,3.5
Adobe,BI Consultant,4.3,"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Opportunity
BI Consultant will be responsible for assisting in the data collection, data analysis, generate insights through statistical models for supporting various departments and functions in Digital Experience – Customer Engineering.
The BI Consultant as an Individual Contributor operates with broad latitude and independent judgment under general guidance from the Head of Analytics & Insights – Customer Engineering.
What you'll Do
Learn, understand the existing data and products and know-how, when and which data sources to use
Enabling all kinds of product and business data analysis for Customer Engineering Business partners & Stakeholders
Understand various business lines, goals, and problems and come up with reports, trends, and insights to identify possible opportunities/threats
Help implementing best-suited processes and tools (for dashboards, visualization, charts, graphs) to bring automation to Business and Data Analytics
Regularly provide inputs through statistical models & analysis, recommendations, and insights to enable strategic decisions
What you need to succeed
Masters with 5+ years of experience or 7+ years of relevant experience in data analytics role involving responsibility of querying/extracting/collating and generating insights
Strong analytics skills - ability to start from unclear problem, identify and access relevant data sources, analyze data to make a detailed analysis, arrive at trends/insights, and suggest concrete recommendations
Strong proficiency in SQL, Python, R, SPSS, Microsoft Excel/Presentation and reporting/visualization tools like Tableau, PowerBI.
Ability to work independently in a fast-paced business environment with tight timelines
Superior communication (both oral and written), presentation, and interpersonal skills
""Self-starter"" personality with the ability to self-motivate in a fast-paced environment. Strong drive for results, ability to handle ambiguity and cross-team dynamics.

Adobe is proud to be an Equal Employment Opportunity and affirmative action employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.

Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.

Adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each other’s employees.",Bengaluru,,,10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$2 to $5 billion (USD),4.0,4.2,4.4,3.9,4.2
Screen Magic Mobile Media Pvt. Ltd.,Data Analyst,3.6,"Role: Data Analyst - SaaS Industry Only
Position Overview:
As a data analyst, you will take responsibility for managing our data set, developing reports, and troubleshooting data issues.
Additionally, you will lead initiatives to empower and educate our users with Self-Serve analytics to realize our goal of building a robust data-driven culture.
To do well in this role, you need an excellent eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases.

Key Responsibilities:
Ensures that data is accurate, complete, and consistent.
Implement processes and procedures to monitor, assess, and improve data quality.
Monitor data sources and ensure that data is appropriately entered, stored, and maintained to ensure accuracy and reliability.
Work with other departments to identify data trends and patterns that support the organization’s objectives. This will include using data visualization tools like dashboards and charts to help identify trends and insights
Collaborate with stakeholders to define and implement data analytics and reporting capabilities to support business decision-making processes

Qualifications and Skills:
Bachelor's degree in computer science, information systems, or a related field.
Proven experience of 3 to 6 years in data analysis and MIS reporting systems
Proficiency in Power BI tool,SQL Query, MS Excel or Google Spreadsheets
Demonstrated experience in handling large data sets and relational databases, technical expertise in data storage structures, data mining, and data cleansing
Strong knowledge of data analysis methods, tools, and best practices
Experience working with and creating databases and dashboards using all relevant data to make informed decisions.
Experience in CRM systems and the SaaS industry is a big plus.
Strong communication and interpersonal skills, with the ability to effectively communicate technical concepts to non-technical stakeholders.
Take ownership and communicate proactively.
lK7WadabfB",Pune,"₹4,63,527",/yr (est.),51 to 200 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.7,3.6,3.3,3.2,3.2
Recruise,1700_HCP_Data Science,4.6,,Bengaluru,,,,,,,,,,,,,
SAVVI SALES AND SERVICE PVT.LTD.,Computer Data Entry Operator,,"Job Description:
Job Title: Data Entry Operator (Female’s only)
Location: Samalkha (Panipat)
Qualification: Graduation (Any Stream)
Job Type: Work from Home Job (Laptop required)
Years of Experience: Minimum 6 months (Fresher’s can also apply)
Salary Package: Up to 8k & Negotiable
Required Skills:
Typing Speed. ...
Typing Accuracy. ...
Communication skills.
Time Management. ...
Job Responsibility:
Typing Speed and accuracy.
Excellent knowledge of correct spelling grammar and punctuation.
Proven data entry work experience, as a Data Entry Operator or Office Clerk.
Organization skills, with an ability to stay focused on assigned tasks.
Screened the candidates according to the needs.
Interested Candidates can call and share their updated resume on WhatsApp
9996345216
hrassistant.pnp@gmail.com
Job Types: Full-time, Permanent, Fresher
Salary: ₹7,000.00 - ₹8,000.00 per month
Benefits:
Work from home
Schedule:
Day shift
Education:
Bachelor's (Preferred)
Experience:
Microsoft Office: 1 year (Preferred)
total work: 1 year (Preferred)
Language:
English (Preferred)
Ability to Commute:
Haryana, Haryana (Required)
Ability to Relocate:
Haryana, Haryana: Relocate before starting work (Required)
Work Location: In person
Speak with the employer
+91 9996345216",Haryāna,"₹7,500",/mo (est.),,,,,,,,,,,
Gravity Infosoft,Data Entry Operator,,"Location
Delhi

Experience
0-1 year

1 year
Data Entry for our ongoing portals",Delhi,,,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,,,,,
